survey,source_name,band,N,F_mean,S2,sigma2_err_mean,excess_var_norm,Fvar,baseline_days,tier,R_Fe,fwhm_hbeta
ATLAS,150348.33+193941.3,c,498,5.049398006434473e-9,2.012256850018654e-17,2.2982082194039688e-17,-0.11215353639260651,,3992.0468059999985,trusted,1.4182979747423967,4784.922019382111
ATLAS,094203.33+593709.5,o,1361,7.596844262727942e-9,1.0672311578956756e-16,1.8330679712139296e-16,-1.326996544910592,,3804.7971370000014,trusted,0.7000606413769409,13782.61565800731
ATLAS,022325.01-003612.6,c,430,8.864639932349321e-9,1.4488580238432779e-16,6.68999503776524e-17,0.9924156889816402,0.99620062687274,3993.0147390000056,trusted,0.5426685807130428,14072.017000864613
ATLAS,001255.59+014750.9,o,1028,1.3115991925615714e-8,8.383469232854625e-16,1.4930084493317347e-15,-3.8055246311057664,,4015.0176409999985,trusted,1.3057898256544467,12701.601059969164
ATLAS,172052.29+590153.7,c,549,4.644818553444869e-9,3.8669314074351515e-17,3.7821632920422704e-17,0.03929117542981791,0.198220017732362,3927.280673999994,trusted,0.9071280496858504,12702.999820522198
ATLAS,121028.83+025454.2,o,1417,8.905421157395346e-9,3.5705109487125174e-16,6.808622121612533e-16,-4.083032426971329,,4042.4199309999967,trusted,1.4238146190193512,1721.8073858472812
ATLAS,094203.33+593709.5,c,338,4.8325393506782705e-9,3.3429712981338763e-17,3.9585432771776716e-17,-0.2635894623236134,,3775.799067,trusted,0.7000606413769409,13782.61565800731
ATLAS,093856.54+435415.0,c,382,5.235340088074466e-9,7.166841411672724e-17,1.0403248337825876e-16,-1.1807917889196724,,3883.653818999999,trusted,1.1528499393617284,13950.718834997242
ATLAS,121028.83+025454.2,c,400,4.856012373849574e-9,6.178490620564911e-17,1.1090549536290849e-16,-2.083070639707198,,3801.6891999999934,trusted,1.4238146190193512,1721.8073858472812
ATLAS,220546.32+005319.2,c,392,3.503124652270637e-8,1.1782322177982332e-14,1.7653646150732638e-14,-4.784371146315476,,3934.086900999995,trusted,2.0518496884917417,1782.4222846699492
ATLAS,140655.51+582200.0,o,1659,7.827151610703894e-9,1.352346491388294e-16,2.705580149627966e-16,-2.208845292642178,,4014.0089399999997,trusted,0.6900370835795584,13130.73881267496
ATLAS,075947.73+112507.3,o,1300,1.4114489933807446e-8,8.866737581809558e-16,1.2228566343929835e-15,-1.6875055576200098,,3872.3772099999987,trusted,0.8558013270979767,12733.883455291054
ATLAS,153145.14+431933.8,c,264,7.683191015994806e-9,1.1035973740572774e-16,6.459979138226735e-17,0.7751794345588301,0.8804427491659126,3836.7088719999956,trusted,0.41643337883986437,12595.486704446996
ATLAS,012715.48-001115.1,c,318,5.080314803870865e-9,1.2270611277075946e-16,1.0637263270957839e-16,0.6328451818850344,0.7955156704207871,3813.8224680000058,trusted,1.723738523388939,17675.051020118703
ATLAS,084245.18+445533.9,c,271,5.791899403284249e-9,1.6344145405974447e-16,5.39050262808409e-16,-11.196795553865574,,3776.829206000002,trusted,1.5203514552818407,2513.1691650570715
ATLAS,153145.14+431933.8,o,983,1.2004185062408223e-8,3.751156908407089e-16,6.187611876668012e-16,-1.6908030584752103,,3862.714745999998,trusted,0.41643337883986437,12595.486704446996
ATLAS,084245.18+445533.9,o,1374,8.600406646282017e-9,2.2006573833152142e-16,5.45115418673472e-16,-4.394523295436,,3862.713055,trusted,1.5203514552818407,2513.1691650570715
