source_name,MJD,mag,mag_err,RA,DEC
152942.19+350851.3,55357.19438,18.24,0.12,232.42572,35.14771
152942.19+350851.3,55357.19894,18.54,0.15,232.42577,35.14756
152942.19+350851.3,55357.20354,18.24,0.12,232.42582,35.14764
152942.19+350851.3,55366.18883,18.45,0.13,232.42563,35.14769
152942.19+350851.3,55366.19411,18.33,0.12,232.42571,35.1476
152942.19+350851.3,55366.19941,18.23,0.12,232.42582,35.14758
152942.19+350851.3,55366.20481,18.44,0.13,232.42567,35.14757
152942.19+350851.3,55273.40785,18.26,0.12,232.42572,35.14755
152942.19+350851.3,55273.41366,18.2,0.12,232.42588,35.14763
152942.19+350851.3,55273.41946,18.12,0.11,232.42584,35.14756
152942.19+350851.3,55273.42529,18.16,0.12,232.42579,35.14765
152942.19+350851.3,55280.37588,18.29,0.12,232.42565,35.14766
152942.19+350851.3,55280.38278,18.15,0.12,232.42571,35.14751
152942.19+350851.3,55280.3897,18.27,0.12,232.42572,35.14745
152942.19+350851.3,55280.39667,18.41,0.13,232.42559,35.14754
152942.19+350851.3,55321.25944,18.4,0.13,232.42567,35.1478
152942.19+350851.3,55321.26581,18.34,0.12,232.42569,35.14768
152942.19+350851.3,55321.27209,18.11,0.11,232.42582,35.14775
152942.19+350851.3,55321.27843,18.39,0.13,232.42562,35.14761
152942.19+350851.3,55330.28615,18.2,0.14,232.42574,35.14761
152942.19+350851.3,55330.29685,18.32,0.15,232.42565,35.14761
152942.19+350851.3,55330.30214,18.23,0.14,232.42571,35.14774
152942.19+350851.3,55659.39483,18.34,0.13,232.42561,35.14748
152942.19+350851.3,55659.40151,18.29,0.13,232.42566,35.14771
152942.19+350851.3,55659.40922,18.32,0.13,232.42564,35.14775
152942.19+350851.3,55659.41691,18.09,0.12,232.42579,35.14783
152942.19+350851.3,55676.26101,18.32,0.15,232.42572,35.14762
152942.19+350851.3,55676.26697,18.57,0.16,232.42574,35.14764
152942.19+350851.3,55676.27299,18.51,0.16,232.42565,35.14765
152942.19+350851.3,55676.27911,18.35,0.16,232.42561,35.14755
152942.19+350851.3,55719.3157,18.41,0.13,232.42568,35.14753
152942.19+350851.3,55719.3249,18.47,0.14,232.4256,35.14749
152942.19+350851.3,55719.33416,18.42,0.13,232.4257,35.14761
152942.19+350851.3,55719.34345,18.26,0.13,232.42583,35.14773
152942.19+350851.3,55725.29762,18.58,0.14,232.42577,35.14762
152942.19+350851.3,55725.30567,18.48,0.14,232.42567,35.14773
152942.19+350851.3,55725.31374,18.35,0.13,232.4255,35.14762
152942.19+350851.3,55725.32185,18.4,0.13,232.42574,35.14777
152942.19+350851.3,55648.3566,18.4,0.13,232.42573,35.14768
152942.19+350851.3,55648.36403,18.23,0.12,232.4255,35.14743
152942.19+350851.3,55648.37146,18.32,0.13,232.4257,35.14754
152942.19+350851.3,55648.37898,18.39,0.13,232.42569,35.14751
152942.19+350851.3,55688.39366,18.35,0.13,232.42591,35.14771
152942.19+350851.3,55688.39949,18.35,0.13,232.42562,35.14769
152942.19+350851.3,55688.40534,18.32,0.13,232.42561,35.14756
152942.19+350851.3,55688.41105,18.25,0.13,232.42575,35.14758
152942.19+350851.3,56018.44567,18.15,0.12,232.42575,35.14778
152942.19+350851.3,56018.45257,18.44,0.13,232.42576,35.14771
152942.19+350851.3,56018.45957,18.39,0.13,232.42577,35.14761
152942.19+350851.3,56018.46652,18.45,0.13,232.42571,35.14766
152942.19+350851.3,56046.40598,18.32,0.15,232.42562,35.14767
152942.19+350851.3,56046.40775,18.41,0.16,232.42554,35.14756
152942.19+350851.3,56046.40958,18.15,0.14,232.42564,35.14769
152942.19+350851.3,56046.41139,18.34,0.16,232.42568,35.14754
152942.19+350851.3,56064.36664,18.3,0.12,232.42595,35.14756
152942.19+350851.3,56064.37337,18.42,0.13,232.42574,35.14764
152942.19+350851.3,56064.3802,18.34,0.12,232.4257,35.14755
152942.19+350851.3,56064.387,18.2,0.12,232.4258,35.1476
152942.19+350851.3,56071.31807,18.24,0.11,232.42587,35.14754
152942.19+350851.3,56071.32449,18.35,0.11,232.42576,35.14747
152942.19+350851.3,56071.33088,18.24,0.11,232.42585,35.14745
152942.19+350851.3,56071.33724,18.19,0.1,232.42575,35.14767
152942.19+350851.3,56077.37463,18.33,0.14,232.42572,35.14782
152942.19+350851.3,56077.38265,18.2,0.13,232.42574,35.14759
152942.19+350851.3,56077.39065,18.27,0.13,232.4257,35.14746
152942.19+350851.3,56077.39872,18.15,0.13,232.42563,35.14763
152942.19+350851.3,56094.28162,18.42,0.13,232.42578,35.1477
152942.19+350851.3,56094.29012,18.19,0.12,232.42582,35.14766
152942.19+350851.3,56094.29852,18.25,0.12,232.42573,35.14768
152942.19+350851.3,56094.30714,18.05,0.11,232.42572,35.14776
152942.19+350851.3,56189.12866,18.37,0.13,232.4257,35.14752
152942.19+350851.3,56189.13266,18.01,0.12,232.42574,35.14763
152942.19+350851.3,56189.13654,18.14,0.12,232.42584,35.14757
152942.19+350851.3,56189.14059,18.1,0.12,232.42558,35.14756
152942.19+350851.3,56374.34263,17.89,0.11,232.42576,35.1476
152942.19+350851.3,56374.3494,18.23,0.13,232.42575,35.14759
152942.19+350851.3,56374.35623,17.99,0.12,232.4259,35.14762
152942.19+350851.3,56374.36306,18.23,0.13,232.42564,35.14774
152942.19+350851.3,56390.44752,18.13,0.11,232.42577,35.1477
152942.19+350851.3,56390.45857,18.19,0.11,232.42577,35.14762
152942.19+350851.3,56390.46959,18.25,0.11,232.42566,35.1477
152942.19+350851.3,56390.48074,18.06,0.1,232.42567,35.14751
152942.19+350851.3,56419.40007,18.2,0.12,232.42586,35.14765
152942.19+350851.3,56419.40578,18.19,0.12,232.4259,35.1477
152942.19+350851.3,56419.41155,18.12,0.12,232.42585,35.14758
152942.19+350851.3,56419.41734,18.23,0.12,232.42574,35.14762
152942.19+350851.3,56433.31353,18.07,0.12,232.4258,35.14751
152942.19+350851.3,56433.31852,18.01,0.11,232.42565,35.14766
152942.19+350851.3,56433.32364,18.54,0.14,232.42571,35.14759
152942.19+350851.3,56433.32873,18.18,0.12,232.42575,35.14774
152942.19+350851.3,56446.29943,18.23,0.12,232.42571,35.14766
152942.19+350851.3,56446.30791,18.25,0.13,232.42581,35.14752
152942.19+350851.3,56446.31642,18.02,0.12,232.42582,35.14763
152942.19+350851.3,56446.32497,18.17,0.12,232.42586,35.14764
152942.19+350851.3,56453.3129,18.28,0.13,232.42574,35.14754
152942.19+350851.3,56453.31875,18.13,0.12,232.42594,35.14771
152942.19+350851.3,56453.32455,18.16,0.12,232.42579,35.14765
152942.19+350851.3,56453.33035,18.1,0.12,232.42578,35.14769
152942.19+350851.3,56461.29906,18.21,0.12,232.42563,35.14759
152942.19+350851.3,56461.30416,18.26,0.13,232.42569,35.14754
152942.19+350851.3,56461.30927,18.19,0.12,232.42575,35.14764
152942.19+350851.3,56461.31441,18.24,0.13,232.42564,35.14763
152942.19+350851.3,56563.10179,18.06,0.11,232.42581,35.14756
152942.19+350851.3,56563.10852,18.0,0.11,232.42565,35.14773
152942.19+350851.3,56563.11518,18.36,0.13,232.4257,35.14754
152942.19+350851.3,56563.12188,18.16,0.12,232.42577,35.14763
075005.28+292944.3,53470.14115,19.35,0.21,117.51972,29.49297
075005.28+292944.3,53470.14843,19.37,0.21,117.51972,29.49276
075005.28+292944.3,53470.15576,19.37,0.21,117.51978,29.49325
075005.28+292944.3,53470.16309,19.84,0.27,117.51966,29.49316
075005.28+292944.3,53490.13218,19.38,0.2,117.51964,29.49303
075005.28+292944.3,53490.13871,19.9,0.26,117.52008,29.49303
075005.28+292944.3,53490.14522,19.64,0.23,117.5196,29.49296
075005.28+292944.3,53725.25122,19.79,0.25,117.51953,29.49312
075005.28+292944.3,53725.25924,19.93,0.27,117.51967,29.49305
075005.28+292944.3,53730.37288,19.1,0.18,117.51961,29.49279
075005.28+292944.3,53730.37856,19.68,0.25,117.51975,29.49286
075005.28+292944.3,53730.39256,19.49,0.22,117.51964,29.49285
075005.28+292944.3,53730.39823,19.6,0.23,117.51992,29.49315
075005.28+292944.3,53731.36237,19.57,0.22,117.51991,29.49281
075005.28+292944.3,53731.37996,19.29,0.19,117.51954,29.49321
075005.28+292944.3,53733.30649,19.27,0.19,117.51973,29.49307
075005.28+292944.3,53733.31437,19.69,0.23,117.51979,29.49287
075005.28+292944.3,53733.32213,19.41,0.2,117.51962,29.49328
075005.28+292944.3,53733.32995,19.62,0.22,117.51982,29.49307
075005.28+292944.3,53702.42834,19.37,0.2,117.51991,29.49294
075005.28+292944.3,53702.43379,19.93,0.26,117.51998,29.49295
075005.28+292944.3,53702.4392,19.54,0.22,117.51963,29.49289
075005.28+292944.3,53702.44458,19.5,0.21,117.51975,29.49282
075005.28+292944.3,53645.47018,20.07,0.31,117.51974,29.49323
075005.28+292944.3,53645.4767,20.07,0.31,117.51955,29.49288
075005.28+292944.3,53657.42945,19.34,0.21,117.51967,29.49287
075005.28+292944.3,53657.43375,19.01,0.18,117.51961,29.49298
075005.28+292944.3,53669.4672,19.81,0.25,117.51997,29.49321
075005.28+292944.3,53669.47418,19.34,0.2,117.52017,29.49302
075005.28+292944.3,53669.48116,19.51,0.21,117.51968,29.49327
075005.28+292944.3,53669.48815,19.82,0.25,117.51975,29.49316
075005.28+292944.3,53849.13171,18.99,0.17,117.5196,29.49309
075005.28+292944.3,53849.13822,19.51,0.22,117.52001,29.49314
075005.28+292944.3,53849.14469,19.37,0.21,117.51941,29.49282
075005.28+292944.3,54080.50551,19.37,0.57,117.52006,29.4937
075005.28+292944.3,54082.35481,19.16,0.18,117.51976,29.49308
075005.28+292944.3,54082.36147,19.11,0.17,117.51971,29.49309
075005.28+292944.3,54082.36809,19.36,0.19,117.51968,29.49304
075005.28+292944.3,54092.41165,19.52,0.2,117.51971,29.49293
075005.28+292944.3,54092.41648,19.52,0.2,117.51962,29.49312
075005.28+292944.3,54092.42133,19.58,0.21,117.51951,29.49298
075005.28+292944.3,54092.42618,19.82,0.24,117.51968,29.49305
075005.28+292944.3,53794.18478,20.03,0.29,117.51995,29.493
075005.28+292944.3,53794.19076,19.69,0.25,117.51993,29.49319
075005.28+292944.3,53794.19671,19.53,0.22,117.51994,29.49287
075005.28+292944.3,53794.20264,19.8,0.25,117.51952,29.4927
075005.28+292944.3,53740.2929,19.33,0.19,117.51975,29.49309
075005.28+292944.3,53740.30294,19.62,0.22,117.51951,29.49284
075005.28+292944.3,53740.313,19.76,0.24,117.51979,29.49286
075005.28+292944.3,53740.32302,19.43,0.2,117.51977,29.49296
075005.28+292944.3,53753.24069,19.7,0.23,117.51983,29.49287
075005.28+292944.3,53753.25359,19.56,0.22,117.51959,29.4928
075005.28+292944.3,53759.27011,19.44,0.21,117.51966,29.49316
075005.28+292944.3,53759.27438,19.31,0.19,117.51965,29.49299
075005.28+292944.3,53759.283,19.67,0.23,117.51972,29.49295
075005.28+292944.3,54060.39031,19.23,0.18,117.51971,29.49289
075005.28+292944.3,54060.39686,19.26,0.18,117.51955,29.49297
075005.28+292944.3,54060.40339,19.83,0.24,117.51971,29.493
075005.28+292944.3,54060.40996,19.27,0.18,117.51967,29.493
075005.28+292944.3,54027.40354,19.3,0.18,117.51965,29.49278
075005.28+292944.3,54027.41284,19.43,0.19,117.51987,29.49319
075005.28+292944.3,54027.42213,19.73,0.22,117.51964,29.493
075005.28+292944.3,54036.40307,19.64,0.24,117.5199,29.49327
075005.28+292944.3,54036.417,19.47,0.24,117.52002,29.49286
075005.28+292944.3,54036.42397,19.73,0.25,117.51962,29.49325
075005.28+292944.3,54464.32349,19.37,0.19,117.51992,29.49287
075005.28+292944.3,54464.32996,20.29,0.31,117.51976,29.4931
075005.28+292944.3,54464.33644,19.77,0.24,117.51942,29.49305
075005.28+292944.3,54464.34296,19.39,0.19,117.51981,29.49321
075005.28+292944.3,54139.12633,19.55,0.23,117.52016,29.49274
075005.28+292944.3,54139.13172,19.5,0.22,117.5198,29.49307
075005.28+292944.3,54139.13714,19.77,0.23,117.51959,29.49287
075005.28+292944.3,54139.14256,19.36,0.19,117.51968,29.49335
075005.28+292944.3,54108.33986,19.18,0.18,117.51959,29.49388
075005.28+292944.3,54108.34689,19.46,0.2,117.51948,29.49279
075005.28+292944.3,54174.14005,19.67,0.22,117.51966,29.49278
075005.28+292944.3,54174.14543,19.75,0.23,117.51973,29.49287
075005.28+292944.3,54174.15082,19.77,0.23,117.51957,29.49306
075005.28+292944.3,54174.1562,19.7,0.23,117.51978,29.49332
075005.28+292944.3,54410.40056,19.87,0.31,117.51982,29.4933
075005.28+292944.3,54410.40544,19.85,0.31,117.51975,29.49296
075005.28+292944.3,54410.41031,20.39,0.4,117.51996,29.49319
075005.28+292944.3,54380.42525,19.65,0.22,117.52002,29.49329
075005.28+292944.3,54380.43256,19.12,0.17,117.51969,29.49316
075005.28+292944.3,54380.43982,19.42,0.2,117.52021,29.49326
075005.28+292944.3,54386.42168,19.47,0.2,117.5197,29.49297
075005.28+292944.3,54386.42874,19.56,0.21,117.51962,29.4928
075005.28+292944.3,54386.43575,19.83,0.24,117.51978,29.49305
075005.28+292944.3,54572.14705,18.75,0.15,117.51973,29.49291
075005.28+292944.3,54572.16454,18.94,0.16,117.51983,29.49306
075005.28+292944.3,54582.12998,19.35,0.25,117.51985,29.49304
075005.28+292944.3,54582.13505,19.56,0.28,117.51976,29.49311
075005.28+292944.3,54502.22398,19.7,0.22,117.51983,29.49316
075005.28+292944.3,54502.22923,19.44,0.2,117.51973,29.49291
075005.28+292944.3,54502.23445,19.68,0.22,117.52,29.49312
075005.28+292944.3,54502.2397,19.67,0.22,117.51993,29.49314
075005.28+292944.3,54508.26833,19.74,0.22,117.5199,29.49296
075005.28+292944.3,54523.23088,19.71,0.23,117.51954,29.49306
075005.28+292944.3,54523.23811,19.34,0.19,117.51993,29.4931
075005.28+292944.3,54495.20773,19.3,0.19,117.52002,29.49316
075005.28+292944.3,54535.23949,19.69,0.23,117.51949,29.49311
075005.28+292944.3,54535.24618,19.32,0.19,117.51975,29.49295
075005.28+292944.3,54535.2529,19.99,0.26,117.51986,29.49293
075005.28+292944.3,54554.19133,19.5,0.21,117.51974,29.49336
075005.28+292944.3,54554.19861,19.75,0.24,117.51948,29.49301
075005.28+292944.3,54554.20589,19.93,0.26,117.51983,29.49309
075005.28+292944.3,54554.21319,19.69,0.23,117.5198,29.49293
075005.28+292944.3,54741.4802,19.36,0.19,117.51972,29.49297
075005.28+292944.3,54741.48757,19.51,0.2,117.51978,29.49313
075005.28+292944.3,54741.49483,19.37,0.19,117.52002,29.49326
075005.28+292944.3,54833.24278,19.23,0.18,117.51979,29.49305
075005.28+292944.3,54833.24768,19.22,0.18,117.51966,29.49291
075005.28+292944.3,54833.25253,19.32,0.19,117.51983,29.49292
075005.28+292944.3,54833.25741,19.7,0.22,117.51967,29.49279
075005.28+292944.3,54833.26223,19.97,0.26,117.51986,29.49308
075005.28+292944.3,54909.10757,18.95,0.16,117.5198,29.4931
075005.28+292944.3,54909.11309,19.59,0.21,117.5193,29.49275
075005.28+292944.3,54909.11848,19.89,0.25,117.52008,29.49294
075005.28+292944.3,54909.12391,19.37,0.19,117.51965,29.49312
075005.28+292944.3,55146.43645,19.48,0.22,117.51996,29.49297
075005.28+292944.3,55146.44367,19.18,0.19,117.51933,29.49304
