MJD,m,dm,F,source_name,RA,DEC
57853.577479,23.174,349.667,o,152942.19+350851.3,232.4258318203353,35.14758608779926
57853.59575,17.999,3.913,o,152942.19+350851.3,232.4258318203353,35.14758608779926
57853.616599,19.359,4.626,o,152942.19+350851.3,232.4258318203353,35.14758608779926
57853.632418,20.011,19.305,o,152942.19+350851.3,232.4258318203353,35.14758608779926
57854.50135,25.117,524.0,o,152942.19+350851.3,232.4258318203353,35.14758608779926
57855.566516,17.561,3.13,o,152942.19+350851.3,232.4258318203353,35.14758608779926
57855.573721,18.103,2.923,o,152942.19+350851.3,232.4258318203353,35.14758608779926
57855.585432,17.28,3.252,o,152942.19+350851.3,232.4258318203353,35.14758608779926
57855.590882,18.638,4.082,o,152942.19+350851.3,232.4258318203353,35.14758608779926
57855.597683,17.738,4.283,o,152942.19+350851.3,232.4258318203353,35.14758608779926
57855.606213,18.351,3.656,o,152942.19+350851.3,232.4258318203353,35.14758608779926
57855.613367,17.789,4.363,o,152942.19+350851.3,232.4258318203353,35.14758608779926
57855.621814,18.55,3.649,o,152942.19+350851.3,232.4258318203353,35.14758608779926
57856.59473,18.918,0.71,o,152942.19+350851.3,232.4258318203353,35.14758608779926
