tid,mjd,magpsf_corr,sigmapsf,fid,source_name
ztf,59753.282002300024,17.133913,0.053035975,1,152942.19+350851.3
ztf,59753.346169000026,17.01152,0.05078943,2,152942.19+350851.3
ztf,59756.27604170004,17.107475,0.04897597,1,152942.19+350851.3
ztf,59756.344826399814,17.011251,0.040145386,2,152942.19+350851.3
ztf,59760.28666670015,17.020163,0.059257887,2,152942.19+350851.3
ztf,59762.28151619993,17.001268,0.069492936,2,152942.19+350851.3
ztf,59764.23958329996,17.068874,0.056092024,1,152942.19+350851.3
ztf,59764.28608800005,16.9948,0.050027344,2,152942.19+350851.3
ztf,59766.260833300184,16.992966,0.058279675,2,152942.19+350851.3
ztf,59766.3078240999,17.08061,0.051401667,1,152942.19+350851.3
ztf,59769.27079859981,17.07303,0.04931218,1,152942.19+350851.3
ztf,59771.25387729984,17.064392,0.0484226,1,152942.19+350851.3
ztf,59782.19964119978,17.044743,0.042517986,1,152942.19+350851.3
ztf,59784.21616900014,17.024757,0.045656815,1,152942.19+350851.3
ztf,59789.19719910016,17.003262,0.049145784,1,152942.19+350851.3
ztf,59789.22405089997,16.963467,0.055519532,2,152942.19+350851.3
ztf,59791.19679399999,16.981972,0.10098376,2,152942.19+350851.3
ztf,59807.1668866002,16.927237,0.050090622,2,152942.19+350851.3
ztf,59840.140451400075,16.937084,0.057812843,1,152942.19+350851.3
ztf,59856.15554400021,16.875309,0.044659186,2,152942.19+350851.3
ztf,59931.53458329989,17.025713,0.061572205,1,152942.19+350851.3
ztf,59931.546122699976,16.920835,0.06291366,2,152942.19+350851.3
ztf,59936.54099539993,16.952747,0.065938674,2,152942.19+350851.3
ztf,59951.49335649982,17.120628,0.07235544,1,152942.19+350851.3
ztf,59957.53869209997,17.100273,0.084022,1,152942.19+350851.3
ztf,59957.550486099906,16.993711,0.098173,2,152942.19+350851.3
ztf,59967.48839120008,17.12411,0.059835613,1,152942.19+350851.3
ztf,59967.547025499865,17.016464,0.061053,2,152942.19+350851.3
ztf,59969.50990739977,17.083296,0.050423123,1,152942.19+350851.3
ztf,59969.54346060008,16.991783,0.056336775,2,152942.19+350851.3
ztf,59972.5124884001,16.990225,0.044324063,2,152942.19+350851.3
ztf,59972.53640050022,17.104685,0.06055397,1,152942.19+350851.3
ztf,59979.489120400045,17.023012,0.054561853,2,152942.19+350851.3
ztf,59984.511458300054,16.987167,0.05074355,2,152942.19+350851.3
ztf,59984.535775499884,17.151861,0.05348155,1,152942.19+350851.3
ztf,59987.50722219981,17.143082,0.056379646,1,152942.19+350851.3
ztf,59993.47260419978,17.12031,0.065912,1,152942.19+350851.3
ztf,59996.474710599985,17.099056,0.052763563,1,152942.19+350851.3
ztf,59996.49771990022,17.00904,0.05170742,2,152942.19+350851.3
ztf,60016.448588000145,17.074745,0.04313305,1,152942.19+350851.3
ztf,60016.471203700174,17.001476,0.07146182,2,152942.19+350851.3
ztf,60021.36835649982,17.091928,0.05821797,1,152942.19+350851.3
ztf,60021.46577550005,16.996778,0.05388116,2,152942.19+350851.3
ztf,60032.324560199864,17.050772,0.05352021,1,152942.19+350851.3
ztf,60042.393067100085,17.057436,0.06332474,1,152942.19+350851.3
ztf,60044.345127299894,17.011908,0.04984509,1,152942.19+350851.3
ztf,60044.402349499986,16.959017,0.061066106,2,152942.19+350851.3
ztf,60050.46642359998,16.994957,0.040502947,1,152942.19+350851.3
ztf,60053.42537039984,16.949913,0.040569674,2,152942.19+350851.3
ztf,60053.46930560004,16.992146,0.049958564,1,152942.19+350851.3
ztf,60055.37954859994,16.955914,0.06678341,2,152942.19+350851.3
